順番,干支,訓読み,音読み,該当西暦例,使用例
1,甲子,きのえね,コウシ,1984,甲子園球場［1924］
2,乙丑,きのとうし,イッチュウ,1985,
3,丙寅,ひのえとら,ヘイイン,1986,
4,丁卯,ひのとう,テイボウ,1987,
5,戊辰,つちのえたつ,ボシン,1988,戊辰戦争［1868］
6,己巳,つちのとみ,キシ,1989,
7,庚午,かのえうま,コウゴ,1990,庚午年籍［670］
8,辛未,かのとひつじ,シンビ,1991,
9,壬申,みずのえさる,ジンシン,1992,壬申の乱［672］、壬申戸籍［1872］、壬申地券［1872］
10,癸酉,みずのととり,キユウ,1993,
11,甲戌,きのえいぬ,コウジュツ,1994,
12,乙亥,きのとい,イツガイ,1995,
13,丙子,ひのえね,ヘイシ,1996,
14,丁丑,ひのとうし,テイチュウ,1997,
15,戊寅,つちのえとら,ボイン,1998,
16,己卯,つちのとう,キボウ,1999,
17,庚辰,かのえたつ,コウシン,2000,
18,辛巳,かのとみ,シンシ,2001,
19,壬午,みずのえうま,ジンゴ,2002,壬午軍乱（壬午事変）［1882］
20,癸未,みずのとひつじ,キビ,2003,
21,甲申,きのえさる,コウシン,2004,甲申事変［1884］
22,乙酉,きのととり,イツユウ,2005,
23,丙戌,ひのえいぬ,ヘイジュツ,2006,
24,丁亥,ひのとい,テイガイ,2007,
25,戊子,つちのえね,ボシ,2008,
26,己丑,つちのとうし,キチュウ,2009,
27,庚寅,かのえとら,コウイン,2010,庚寅年籍［690］
28,辛卯,かのとう,シンボウ,2011,
29,壬辰,みずのえたつ,ジンシン,2012,
30,癸巳,みずのとみ,キシ,2013,
31,甲午,きのえうま,コウゴ,2014,甲午農民戦争（東学党の乱）［1894］
32,乙未,きのとひつじ,イツビ,2015,
33,丙申,ひのえさる,ヘイシン,2016,
34,丁酉,ひのととり,テイユウ,2017,
35,戊戌,つちのえいぬ,ボジュツ,2018,戊戌夢物語［1838］
36,己亥,つちのとい,キガイ,2019,
37,庚子,かのえね,コウシ,2020,
38,辛丑,かのとうし,シンチュウ,2021,
39,壬寅,みずのえとら,ジンイン,2022,
40,癸卯,みずのとう,キボウ,2023,
41,甲辰,きのえたつ,コウシン,2024,
42,乙巳,きのとみ,イッシ,2025,乙巳の変［645］
43,丙午,ひのえうま,ヘイゴ,2026,
44,丁未,ひのとひつじ,テイビ,2027,
45,戊申,つちのえさる,ボシン,2028,戊申詔書［1908］
46,己酉,つちのととり,キユウ,2029,己酉約条［1609］
47,庚戌,かのえいぬ,コウジュツ,2030,
48,辛亥,かのとい,シンガイ,2031,辛亥革命［1911］
49,壬子,みずのえね,ジンシ,2032,
50,癸丑,みずのとうし,キチュウ,2033,
51,甲寅,きのえとら,コウイン,2034,
52,乙卯,きのとう,イツボウ,2035,
53,丙辰,ひのえたつ,ヘイシン,2036,
54,丁巳,ひのとみ,テイシ,2037,
55,戊午,つちのえうま,ボゴ,2038,
56,己未,つちのとひつじ,キビ,2039,
57,庚申,かのえさる,コウシン,2040,庚申講・庚申塔〔庚申の年ではなく、庚申の日を指す〕
58,辛酉,かのととり,シンユウ,2041,
59,壬戌,みずのえいぬ,ジンジュツ,2042,
60,癸亥,みずのとい,キガイ,2043,
