漢検漢字辞典掲載順,画数,文字,名称,ユニコード
1,1,⼀,いち,U+2F00
2,1,⼁,ぼう,U+2F01
3,1,⼂,てん,U+2F02
4,1,⼃,の,U+2F03
5,1,⼄,おつ,U+2F04
6,1,⼅,はねぼう,U+2F05
7,2,⼆,に,U+2F06
8,2,⼇,なべぶた,U+2F07
9,2,⼈,ひと,U+2F08
10,2,⼉,ひとあし,U+2F09
11,2,⼊,いる,U+2F0A
12,2,⼋,はち,U+2F0B
13,2,⼌,どうがまえ,U+2F0C
14,2,⼍,わかんむり,U+2F0D
15,2,⼎,にすい,U+2F0E
16,2,⼏,つくえ,U+2F0F
17,2,⼐,うけばこ,U+2F10
18,2,⼑,かたな,U+2F11
19,2,⼒,ちから,U+2F12
20,2,⼓,つつみがまえ,U+2F13
21,2,⼔,ひ,U+2F14
22,2,⼕,はこがまえ,U+2F15
23,2,⼖,かくしがまえ,U+2F16
24,2,⼗,じゅう,U+2F17
25,2,⼘,ぼく,U+2F18
26,2,⼙,わりふ,U+2F19
27,2,⼚,がんだれ,U+2F1A
28,2,⼛,む,U+2F1B
29,2,⼜,また,U+2F1C
30,3,⼝,くち,U+2F1D
31,3,⼞,くにがまえ,U+2F1E
32,3,⼟,つち,U+2F1F
33,3,⼠,さむらい,U+2F20
34,3,⼡,ふゆがしら,U+2F21
35,3,⼣,た,U+2F23
36,3,⼤,だい,U+2F24
37,3,⼥,おんな,U+2F25
38,3,⼦,こ,U+2F26
39,3,⼧,うかんむり,U+2F27
40,3,⼨,すん,U+2F28
41,3,⼩,しょう,U+2F29
42,3,⼪,だいのまげあし,U+2F2A
43,3,⼫,かばね,U+2F2B
44,3,⼬,てつ,U+2F2C
45,3,⼭,やま,U+2F2D
46,3,⼮,かわ,U+2F2E
47,3,⼯,え,U+2F2F
48,3,⼰,おのれ,U+2F30
49,3,⼱,はば,U+2F31
50,3,⼲,かん,U+2F32
51,3,⼳,よう,U+2F33
52,3,⼴,まだれ,U+2F34
53,3,⼵,えんにょう,U+2F35
54,3,⼶,こまぬき,U+2F36
55,3,⼷,しきがまえ,U+2F37
56,3,⼸,ゆみ,U+2F38
57,3,⼹,けいがしら,U+2F39
58,3,⼺,さんづくり,U+2F3A
59,3,⼻,ぎょうにんべん,U+2F3B
60,3,⺍,つかんむり,U+2E8D
61,4,⼼,こころ,U+2F3C
62,4,⼽,ほこ,U+2F3D
63,4,⼾,と,U+2F3E
64,4,⼿,て,U+2F3F
65,4,⽀,し,U+2F40
66,4,⽁,のぶん,U+2F41
67,4,⽂,ぶん,U+2F42
68,4,⽃,とます,U+2F43
69,4,⽄,きん,U+2F44
70,4,⽅,ほう,U+2F45
71,4,⽆,なし,U+2F46
72,4,⽇,ひ,U+2F47
73,4,⽈,ひらび,U+2F48
74,4,⽉,つき,U+2F49
75,4,⽊,き,U+2F4A
76,4,⽋,あくび,U+2F4B
77,4,⽌,とめる,U+2F4C
78,4,⽍,かばねへん,U+2F4D
79,4,⽎,るまた,U+2F4E
80,4,⽏,なかれ,U+2F4F
81,4,⽐,ならびひ,U+2F50
82,4,⽑,け,U+2F51
83,4,⽒,うじ,U+2F52
84,4,⽓,きがまえ,U+2F53
85,4,⽔,みず,U+2F54
86,4,⽕,ひ,U+2F55
87,4,⽖,つめ,U+2F56
88,4,⽗,ちち,U+2F57
89,4,⽘,まじわる,U+2F58
90,4,⽙,しょうへん,U+2F59
91,4,⽚,かた,U+2F5A
92,4,⽛,きば,U+2F5B
93,4,⽜,うし,U+2F5C
94,4,⽝,いぬ,U+2F5D
95,5,⽞,げん,U+2F5E
96,5,⽟,たま,U+2F5F
97,5,⽠,うり,U+2F60
98,5,⽡,かわら,U+2F61
99,5,⽢,かん,U+2F62
100,5,⽣,うまれる,U+2F63
101,5,⽤,もちいる,U+2F64
102,5,⽥,た,U+2F65
103,5,⽦,ひき,U+2F66
104,5,⽧,やまいだれ,U+2F67
105,5,⽨,はつがしら,U+2F68
106,5,⽩,しろ,U+2F69
107,5,⽪,けがわ,U+2F6A
108,5,⽫,さら,U+2F6B
109,5,⽬,め,U+2F6C
110,5,⽭,ほこ,U+2F6D
111,5,⽮,や,U+2F6E
112,5,⽯,いし,U+2F6F
113,5,⽰,しめす,U+2F70
114,5,⽱,じゅう,U+2F71
115,5,⽲,のぎ,U+2F72
116,5,⽳,あな,U+2F73
117,5,⽴,たつ,U+2F74
118,6,⽵,たけ,U+2F75
119,6,⽶,こめ,U+2F76
120,6,⽷,いと,U+2F77
121,6,⽸,ほとぎ,U+2F78
122,6,⽹,あみがしら,U+2F79
123,6,⽺,ひつじ,U+2F7A
124,6,⽻,はね,U+2F7B
125,6,⽼,おいかんむり,U+2F7C
126,6,⽽,しかして,U+2F7D
127,6,⽾,すきへん,U+2F7E
128,6,⽿,みみ,U+2F7F
129,6,⾀,ふでづくり,U+2F80
130,6,⾁,にく,U+2F81
131,6,⾂,しん,U+2F82
132,6,⾃,みずから,U+2F83
133,6,⾄,いたる,U+2F84
134,6,⾅,うす,U+2F85
135,6,⾆,した,U+2F86
136,6,⾇,まいあし,U+2F87
137,6,⾈,ふね,U+2F88
138,6,⾉,ねづくり,U+2F89
139,6,⾊,いろ,U+2F8A
140,6,⾋,くさ,U+2F8B
141,6,⾌,とらがしら,U+2F8C
142,6,⾍,むし,U+2F8D
143,6,⾎,ち,U+2F8E
144,6,⾏,ぎょう,U+2F8F
145,6,⾐,ころも,U+2F90
146,6,⾑,おおいかんむり,U+2F91
147,7,⾒,みる,U+2F92
148,7,⾓,かく,U+2F93
149,7,⾔,げん,U+2F94
150,7,⾕,たに,U+2F95
151,7,⾖,まめ,U+2F96
152,7,⾗,ぶた,U+2F97
153,7,⾘,むじなへん,U+2F98
154,7,⾙,かい,U+2F99
155,7,⾚,あか,U+2F9A
156,7,⾛,はしる,U+2F9B
157,7,⾜,あし,U+2F9C
158,7,⾝,み,U+2F9D
159,7,⾞,くるま,U+2F9E
160,7,⾟,からい,U+2F9F
161,7,⾠,しんのたつ,U+2FA0
162,7,⾡,しんにょう,U+2FA1
163,7,⾢,おおざと,U+2FA2
164,7,⾣,ひよみのとり,U+2FA3
165,7,⾤,のごめ,U+2FA4
166,7,⾥,さと,U+2FA5
167,8,⾦,かね,U+2FA6
168,8,⾧,ながい,U+2FA7
169,8,⾨,もん,U+2FA8
170,8,⾩,おか,U+2FA9
171,8,⾪,れいづくり,U+2FAA
172,8,⾫,ふるとり,U+2FAB
173,8,⾬,あめ,U+2FAC
174,8,⾭,あお,U+2FAD
175,8,⾮,あらず,U+2FAE
176,9,⾯,めん,U+2FAF
177,9,⾰,かくのかわ,U+2FB0
178,9,⾱,なめしがわ,U+2FB1
179,9,⾲,にら,U+2FB2
180,9,⾳,おと,U+2FB3
181,9,⾴,おおがい,U+2FB4
182,9,⾵,かぜ,U+2FB5
183,9,⾶,とぶ,U+2FB6
184,9,⾷,しょく,U+2FB7
185,9,⾸,くび,U+2FB8
186,9,⾹,か,U+2FB9
187,10,⾺,うま,U+2FBA
188,10,⾻,ほね,U+2FBB
189,10,⾼,たかい,U+2FBC
190,10,⾽,かみがしら,U+2FBD
191,10,⾾,とうがまえ,U+2FBE
192,10,⾿,ちょう,U+2FBF
193,10,⿀,かなえ,U+2FC0
194,10,⿁,おに,U+2FC1
195,11,⿂,うお,U+2FC2
196,11,⿃,とり,U+2FC3
197,11,⿄,しお,U+2FC4
198,11,⿅,しか,U+2FC5
199,11,⿆,むぎ,U+2FC6
200,11,⿇,あさ,U+2FC7
201,12,⿈,き,U+2FC8
202,12,⿉,きび,U+2FC9
203,12,⿊,くろ,U+2FCA
204,12,⿋,ち,U+2FCB
205,13,⿌,べんあし,U+2FCC
206,13,⿍,かなえ,U+2FCD
207,13,⿎,つづみ,U+2FCE
208,13,⿏,ねずみ,U+2FCF
209,14,⿐,はな,U+2FD0
210,14,⿑,せい,U+2FD1
211,15,⿒,は,U+2FD2
212,16,⿓,りゅう,U+2FD3
213,16,⿔,かめ,U+2FD4
214,17,⿕,やく,U+2FD5
